company_id,name,country,city,zip_code
2238,Danone,FR,Paris,75000
2240,Juniper Networks,US,Sunnyvale,94089
2247,Johnson Controls,IE,Cork,T12 X8N6
2251,Victoria’s Secret & Co.,US,Columbus,0
2252,Bath & Body Works,US,Columbus,43068
2266,Spherion,US,Atlanta,30339
2271,Starbucks,US,Seattle,98134
2272,Delta Air Lines,US,Atlanta,30320-6001
2276,Genentech,US,South San Francisco,94080
2279,Flex,US,Austin,78759
2282,The Wall Street Journal,US,New York,10036
2284,Dow Jones,US,New York,10036
2300,Macy's,US,New York,10001
2305,Insight,US,Chandler,85286
2307,Kelly,US,Troy,48084
2311,Marriott International,US,Bethesda,20817
2319,CBRE,US,Dallas,75201
2327,Randstad,NL,Diemen,1112 TC
2329,Schneider Electric,FR,Rueil Malmaison,92506
2340,Nationwide,US,0,0
2371,Baxter International Inc.,US,Deerfield,60015
2380,United Airlines,US,Chicago,60606
2381,State Farm,US,Bloomington,61710
2385,Dun & Bradstreet,US,Jacksonville,32256
2423,Mercer,US,New York,10036
2425,Pratt & Whitney,US,East Hartford,6108
2429,Carrier HVAC,US,0,0
2432,Grant Thornton LLP (US),US,Chicago,60601
2443,Alstom,FR,Saint-Ouen,93 400
2445,Northwestern Mutual,US,Milwaukee,53202-4797
2449,Hilton,US,McLean,22102
2454,Oliver Wyman,US,New York,10036-2774
2457,Synopsys Inc,US,Sunnyvale,94085
2459,Zurich North America,US,Schaumburg,60196
2465,Digitas North America,US,Boston,2109
2467,The Hartford,US,Hartford,6155
2474,UCLA Health,US,Los Angeles,90095
2476,Children's Hospital Los Angeles (CHLA),US,Los Angeles,90027
2477,UCLA,US,Los Angeles,90095-1405
2483,Wolters Kluwer,NL,Alphen aan den Rijn,2400 BA
2490,Cigna Healthcare,US,Bloomfield,6002
2494,Bloomberg,US,New York,10022
2496,Diageo,GB,London,NW10 7HQ
2498,Rockwell Automation,US,Milwaukee,53204
2513,Michigan Medicine,US,Ann Arbor,48109
2516,University of Michigan,US,Ann Arbor,48104
2532,U.S. Bank,US,Minneapolis,55402
2534,Experian,US,Costa Mesa,92626
2539,iHeartMedia,US,New York,10019
2541,Clear Channel Outdoor,US,New York,10166
2551,Whirlpool Corporation,US,Benton Harbor,49022
2562,Dow,US,Midland,48674
2576,Ingram Micro,US,Irvine,92612
2579,Crédit Agricole CIB,FR,Montrouge,92547
2584,University of Washington,US,Seattle,98195-4550
2593,Momentum Worldwide,US,New York,NY 10282
2599,Eaton,IE,Dublin,4
2604,Tetra Pak,CH,CH-1009 PULLY/LAUSANNE,Case Postale 446
2609,Panasonic Automotive North America,US,Peachtree City,30269
2610,Panasonic North America,US,Newark,7102
2612,Panasonic Avionics Corporation,US,Irvine,92612
2622,Caterpillar Inc.,US,Irving,0
2623,Columbia University Irving Medical Center,US,New York,0
2624,Columbia University,US,New York,10027
2633,BASF,DE,Ludwigshafen,67056
2640,American Airlines,US,Dallas-Fort Worth,0
2641,Citrix,US,Fort Lauderdale,33309
2646,Walmart,US,Bentonville,72712
2649,University of Illinois Chicago,US,Chicago,60607
